dataset,seed,mode,ari,nmi,status
touching,45,supported_merge,0.07058945062389427,0.21397612939223568,ok
touching,45,saddle_cut,0.14973832406665033,0.13196522809355657,ok
touching,45,manifold_filter,0.06183145052918423,0.21145431906124662,ok
touching,46,raw_length,0.007270200226723965,0.09576085360780505,ok
touching,46,local_scale,0.35766181314395223,0.27787362525681275,ok
touching,46,knn_median,0.23201634978060326,0.23375884401892655,ok
touching,46,supported_merge,-0.005612324537711331,0.01753208880046793,ok
touching,46,saddle_cut,0.35766181314395223,0.27787362525681275,ok
touching,46,manifold_filter,0.35766181314395223,0.27787362525681275,ok
uniform_noise,42,raw_length,0.9121288086131311,0.8753960270349809,ok
uniform_noise,42,local_scale,0.5583240636977671,0.5876180971284781,ok
uniform_noise,42,knn_median,0.6616209542435738,0.659188618269696,ok
uniform_noise,42,supported_merge,0.39178187039754786,0.5031762522152451,ok
uniform_noise,42,saddle_cut,0.5583240636977671,0.5876180971284781,ok
uniform_noise,42,manifold_filter,0.5583240636977671,0.5876180971284781,ok
uniform_noise,43,raw_length,0.8783402339373929,0.8400376163209389,ok
uniform_noise,43,local_scale,0.5555465247600045,0.5650405832068564,ok
uniform_noise,43,knn_median,0.5077474434840303,0.5633740391553365,ok
uniform_noise,43,supported_merge,0.5608015658873065,0.5722723545793496,ok
uniform_noise,43,saddle_cut,0.3343452727179629,0.3936042893681071,ok
uniform_noise,43,manifold_filter,0.5555465247600045,0.5650405832068564,ok
uniform_noise,44,raw_length,0.894997703227317,0.8544262360429989,ok
uniform_noise,44,local_scale,0.3119202020669042,0.38950092582473395,ok
uniform_noise,44,knn_median,0.5317295737300642,0.5864817224834665,ok
uniform_noise,44,supported_merge,0.03544566453278051,0.12296445637007514,ok
uniform_noise,44,saddle_cut,0.3119202020669042,0.38950092582473395,ok
uniform_noise,44,manifold_filter,0.3119202020669042,0.38950092582473395,ok
uniform_noise,45,raw_length,0.889043915154003,0.8495510336795855,ok
uniform_noise,45,local_scale,0.4182987235504348,0.5362598052642313,ok
uniform_noise,45,knn_median,0.41800563407222535,0.5346554487348322,ok
uniform_noise,45,supported_merge,0.4182987235504348,0.5362598052642313,ok
uniform_noise,45,saddle_cut,0.4182987235504348,0.5362598052642313,ok
uniform_noise,45,manifold_filter,0.4182987235504348,0.5362598052642313,ok
uniform_noise,46,raw_length,0.8846302118829411,0.8505942285699458,ok
uniform_noise,46,local_scale,0.4230201422235267,0.5104390037884378,ok
uniform_noise,46,knn_median,0.37611923694973515,0.5287195689943557,ok
uniform_noise,46,supported_merge,0.01590119358476504,0.06083739672281979,ok
uniform_noise,46,saddle_cut,0.4230201422235267,0.5104390037884378,ok
uniform_noise,46,manifold_filter,0.4230201422235267,0.5104390037884378,ok
varying_density,42,raw_length,0.6347317833740923,0.671811560456848,ok
varying_density,42,local_scale,0.5294516193623655,0.7043117354363975,ok
varying_density,42,knn_median,0.5300572940258785,0.7058982450941396,ok
varying_density,42,supported_merge,0.5294516193623655,0.7043117354363975,ok
varying_density,42,saddle_cut,0.5294516193623655,0.7043117354363975,ok
varying_density,42,manifold_filter,0.5294516193623655,0.7043117354363975,ok
varying_density,43,raw_length,0.6713047260722478,0.6961170066791281,ok
varying_density,43,local_scale,0.5258397017744296,0.6848410984910857,ok
varying_density,43,knn_median,0.529302707869222,0.6998220156026574,ok
varying_density,43,supported_merge,0.5258397017744296,0.6848410984910857,ok
